112,80,r
112,80,r
112,80,b
113,81,b
159,135,l
76,80,g
112,79,r
112,79,b
114,81,b
159,135,l
77,79,g
112,79,r
112,79,b
115,80,b
159,134,l
73,79,g
113,79,r
78,78,g
115,79,r
115,79,b
116,79,b
75,78,g
116,78,r
76,78,g
117,78,r
77,78,g
118,78,r
55,123,o
118,78,b
119,79,b
77,78,g
119,78,r
84,78,g
121,78,r
84,78,g
122,78,r
86,78,g
123,78,r
58,122,o
87,78,g
125,77,r
88,77,g
126,77,r
60,122,o
126,77,b
126,77,b
89,76,g
128,76,r
61,121,o
128,76,b
128,76,b
91,76,g
715,82,r
715,82,r
732,78,g
713,83,r
709,79,r
729,79,g
709,83,r
705,78,r
726,79,g
705,83,r
701,77,r
723,78,g
702,82,r
698,77,r
720,78,g
699,81,r
695,76,r
718,77,g
696,80,r
692,75,r
716,76,g
154,81,r
689,74,r
689,74,r
689,74,b
694,85,b
713,75,g
158,80,r
686,74,r
686,74,r
710,75,g
163,80,r
683,74,r
680,74,r
706,75,g
237,199,r
168,80,r
678,75,r
675,75,r
614,198,o
614,198,b
625,152,l
700,85,g
237,231,r
174,80,r
672,75,r
669,75,r
617,201,o
617,201,b
669,75,b
615,152,l
695,87,g
181,81,r
666,84,r
662,80,r
610,197,o
610,197,b
608,151,l
687,81,g
240,209,r
188,82,r
657,80,r
654,80,r
605,198,o
605,197,b
603,152,l
678,83,g
247,203,r
196,84,r
648,89,r
644,85,r
597,200,o
597,199,b
595,152,l
670,84,g
249,214,r
203,86,r
640,83,r
637,83,r
590,201,o
590,199,b
588,158,l
661,85,g
266,209,r
210,87,r
582,200,r
633,84,r
582,200,r
630,84,r
582,200,o
582,200,b
580,161,l
654,86,g
265,211,r
218,89,r
588,204,r
627,84,r
587,200,r
624,84,r
588,205,o
587,201,b
586,161,l
650,87,g
226,91,r
571,196,r
621,90,r
650,75,r
571,196,r
617,79,r
647,75,r
565,206,o
565,197,b
647,75,b
562,162,l
643,86,g
236,93,r
569,196,r
613,82,r
569,196,r
613,82,r
557,207,o
557,197,b
557,162,l
635,90,g
246,95,r
565,196,r
602,87,r
565,196,r
602,87,r
553,209,o
553,196,b
550,165,l
626,89,g
256,96,r
562,210,r
594,96,r
562,210,r
590,92,r
549,212,o
549,210,b
544,166,l
617,91,g
261,97,r
586,88,r
582,84,r
561,213,o
559,206,b
535,170,l
607,93,g
270,100,r
577,80,r
573,77,r
527,170,l
597,95,g
280,103,r
569,101,r
566,98,r
561,247,o
562,270,b
519,171,l
585,96,g
287,105,r
561,95,r
558,91,r
561,247,o
551,231,b
519,171,l
578,97,g
554,94,r
552,94,r
555,245,o
555,245,b
516,172,l
573,97,g
545,105,r
542,103,r
557,239,o
557,239,b
561,99,g
537,99,r
534,98,r
561,230,o
561,230,b
497,171,l
553,100,g
527,97,r
527,97,r
561,216,o
562,216,b
499,174,l
549,100,g
520,106,r
516,103,r
